id,name,symbol,slug,is_active,rank,status,platform,token_address
3612,Business Credit Alliance Chain,BCAC,business-credit-alliance-chain,1,1693,active,1027,0x1abdb309aa592f00a101c545168bfdf9a6ec61ce
3613,Dash Green,DASHG,dash-green,1,2084,active,,
3614,Senno,SENNO,senno,0,null,inactive,1376,
3615,HyperQuant,HQT,hyperquant,1,1751,active,1027,0x3e1d5a855ad9d948373ae68e4fe1f094612b1322
3616,Blockchain Certified Data Token,BCDT,blockchain-certified-data-token,1,845,active,1027,0xacfa209fb73bf3dd5bbfb1101b9bc999c49062a5
3617,ILCoin,ILC,ilcoin,1,417,active,,
3618,Gate,GATE,gate,0,null,untracked,1027,0x286708f069225905194673755f12359e6aff6fe1
3619,BEAT,BEAT,beat,1,1536,active,1027,0x2fb12bccf6f5dd338b76be784a93ade072425690
3620,Atlas Protocol,ATP,atlas-protocol,1,579,active,1839,ATP-38C
3621,BitNautic Token,BTNT,bitnautic-token,1,1885,active,1027,0xc45dbdf28844fdb1482c502897d433ac08d6ccd0
3622,nOS,NOS,nos,1,710,active,1376,c9c0fc5a2b66a29d6b14601e752e6e1a445e088d
3623,Online,OIO,online,0,null,untracked,1027,0xa3efef1a1e3d1ad72b9d0f4253e7c9c084c2c08b
3624,Zealium,NZL,zealium,1,1982,active,,
3625,QuadrantProtocol,EQUAD,quadrantprotocol,1,957,active,1027,0xc28e931814725bbeb9e670676fabbcb694fe7df2
3626,RSK Smart Bitcoin,RBTC,rsk-smart-bitcoin,1,790,active,,
3627,Block-Logic,BLTG,block-logic,1,1353,active,,
3628,MXC,MXC,mxc,1,144,active,1027,0x5ca381bbfb58f0092df149bd3d243b08b9a8386e
3629,LRM Coin,LRM,lrm-coin,1,2131,active,,
3630,Hercules,HERC,hercules,0,null,untracked,1027,0x6251583e7d997df3604bc73b9779196e94a090ce
3631,FOAM,FOAM,foam,1,448,active,1027,0x4946fcea7c692606e8908002e55a582af44ac121
3632,Opacity,OPQ,opacity,1,1016,active,1027,0x77599d2c6db170224243e255e6669280f11f1473
3633,BitGuild PLAT,PLAT,bitguild-plat,1,1996,active,1958,TG37mUxRUaH1E8DWSrrmoQ79BnZn1yHztb
3634,Kambria,KAT,kambria,1,817,active,1027,0xa858bc1b71a895ee83b92f149616f9b3f6afa0fb
3635,Crypto.com Coin,CRO,crypto-com-coin,1,11,active,1027,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
3636,Lisk Machine Learning,LML,lisk-machine-learning,1,1412,active,1027,0x25b6325f5bb1c1e03cfbc3e53f470e1f1ca022e3
3637,Aergo,AERGO,aergo,1,390,active,1839,AERGO-46B
